system:index,2017_carbon,2017_standAge,2018_carbon,2018_standAge,2019_carbon,2019_standAge,2020_carbon,2020_standAge,2021_carbon,2021_standAge,.geo
00000000000000000003_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,3.889882938988682E-5,1,0.001029068900523087,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,0.3303381750511785,9,0.4385682662334323,10,2.4530756351562215,49,3.889882938988682E-5,1,0.001029068900523087,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,1.1795467859176587,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,3.889882938988682E-5,1,0.001029068900523087,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,0.23480944627485364,8,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.15483207776050384,7,0.23480944627485364,8,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,0.09235664075107221,6,0.15483207776050384,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,1.1795467859176587,16,1.2952867498781013,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.15483207776050384,7,0.23480944627485364,8,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.15483207776050384,7,0.23480944627485364,8,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,3.889882938988682E-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,1.1795467859176587,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,0.23480944627485364,8,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,1.1795467859176587,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,1.1795467859176587,16,1.2952867498781013,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,0.23480944627485364,8,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,1.1795467859176587,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,2.0292096230337027,26,2.078752359507243,27,2.1232445319685325,28,2.163112186115942,29,2.1987664904777846,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,1.1795467859176587,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
